,LeftX,LeftY,RightX,RightY
318,306,197,410,196
319,307,193,411,192
320,308,191,411,190
321,308,192,412,190
322,308,192,412,190
323,309,192,413,190
324,309,192,414,190
325,310,191,414,190
326,311,191,415,190
327,311,190,416,190
328,311,191,415,190
329,311,191,415,190
330,311,192,415,191
331,311,191,416,190
332,312,191,416,190
333,312,190,416,190
334,312,191,416,190
335,312,192,416,190
336,311,192,416,191
337,312,192,417,191
338,312,191,416,190
339,314,191,417,190
340,313,190,418,190
341,312,191,416,191
342,312,192,416,191
343,311,192,416,191
344,310,191,414,190
345,309,191,414,190
346,309,191,414,190
347,310,192,414,190
348,309,191,414,191
349,310,193,413,190
350,309,191,414,190
351,309,191,414,190
352,309,191,414,190
353,309,191,414,190
354,309,192,414,191
355,307,192,410,190
356,302,191,405,189
357,299,190,403,188
358,298,189,403,188
359,298,189,403,188
360,297,190,403,188
361,297,190,403,188
362,297,190,402,188
363,297,189,403,187
364,300,189,404,186
365,301,189,404,186
366,298,189,404,187
367,297,189,404,187
368,294,188,401,186
369,289,188,395,187
370,287,189,394,187
371,286,189,393,187
372,283,190,389,187
373,280,191,387,188
374,278,191,385,187
375,276,190,384,186
376,275,191,382,186
377,271,191,379,186
378,270,191,378,186
379,269,192,378,186
380,269,192,377,187
381,268,192,377,186
382,265,191,373,185
383,262,192,371,185
384,261,193,369,186
385,259,193,367,186
386,258,193,366,186
387,258,193,366,185
388,257,192,366,184
389,257,193,365,184
390,256,193,364,185
391,255,193,363,186
392,254,193,362,186
393,253,192,361,185
394,252,191,360,184
395,252,192,360,184
396,251,192,359,184
397,250,193,359,184
398,250,193,359,185
399,248,193,358,185
400,249,192,357,183
401,248,191,357,183
402,248,192,356,183
403,248,192,356,184
404,248,192,356,184
405,248,192,356,184
406,248,191,356,183
407,248,192,356,183
408,247,192,355,184
409,247,192,355,184
410,247,192,354,184
411,247,192,354,183
412,247,191,355,183
413,247,194,354,186
414,249,199,356,188
415,249,200,356,191
416,248,201,355,191
417,248,200,354,191
418,247,200,354,189
419,246,199,352,189
420,245,200,353,189
421,245,200,352,190
422,245,201,351,190
423,243,200,349,190
424,240,200,347,188
425,239,199,345,188
426,238,200,344,188
427,238,201,344,188
428,237,201,343,189
429,236,202,343,189
430,236,201,341,188
431,236,201,341,188
432,231,205,334,190
433,229,203,332,188
434,229,201,331,186
435,228,202,330,187
436,229,203,330,188
437,228,203,331,189
438,229,204,331,189
439,229,203,331,188
440,228,202,331,187
441,229,203,331,188
442,229,203,331,188
443,228,203,331,189
444,228,204,330,190
445,228,204,330,189
446,228,203,330,189
447,228,203,330,188
448,228,204,331,189
449,228,204,331,189
450,228,204,331,190
451,229,204,331,190
452,229,203,332,189
453,230,203,332,188
454,229,204,332,189
455,230,204,332,189
456,230,204,332,190
457,230,204,332,190
458,230,203,333,189
459,230,203,333,189
460,229,204,333,190
461,229,204,333,190
462,230,204,334,190
463,231,204,334,190
464,231,203,335,189
465,232,202,335,189
466,232,203,335,189
467,232,203,336,189
468,232,203,336,190
469,232,204,336,190
470,232,203,336,189
471,233,203,336,189
472,242,197,347,184
473,242,195,347,182
474,243,195,347,181
475,242,194,347,181
476,242,194,346,181
477,242,194,346,180
478,242,194,347,181
479,242,194,346,180
480,243,193,347,180
481,243,193,347,179
482,242,193,346,180
483,242,193,346,179
484,242,193,346,179
485,242,193,346,180
486,240,192,344,179
487,240,192,344,178
488,243,192,348,178
489,251,193,355,179
490,253,194,359,180
491,254,194,360,181
492,254,193,360,180
493,255,192,361,179
494,256,192,362,179
495,256,192,363,179
496,257,192,364,180
497,257,193,362,180
498,249,190,354,179
499,245,191,349,180
500,245,191,349,181
501,244,192,348,181
502,244,192,348,181
503,241,193,346,183
504,240,192,345,183
505,240,192,345,182
506,240,192,345,182
507,240,192,346,182
508,240,193,345,183
509,240,193,344,183
510,239,193,344,183
511,239,193,345,182
512,240,192,346,181
513,244,190,349,180
514,251,191,356,179
515,253,192,359,180
516,254,192,360,181
517,255,191,360,179
518,255,191,361,180
519,259,191,365,179
520,261,192,368,180
521,261,192,368,181
522,261,192,368,181
523,262,192,369,181
524,263,191,369,180
525,263,191,369,180
526,261,190,368,180
527,261,190,368,179
528,261,190,369,180
529,262,191,369,181
530,264,190,371,180
531,266,189,374,180
532,272,190,378,181
533,274,191,381,183
534,275,191,381,183
535,275,191,381,182
536,278,189,385,181
537,280,188,388,181
538,285,188,392,182
539,288,187,394,181
540,291,187,398,182
541,295,185,401,181
542,300,184,404,180
543,303,184,406,182
544,302,190,404,189
545,303,189,406,187
546,301,187,406,186
547,301,186,405,184
548,300,186,405,184
549,301,187,405,185
550,301,188,405,186
551,302,188,405,186
552,305,188,408,186
553,305,187,409,185
554,305,188,410,186
555,307,189,411,187
556,308,190,412,188
557,307,191,412,189
558,307,190,412,189
559,308,190,412,188
560,308,190,411,189
561,307,192,411,190
562,307,193,411,191
563,306,194,411,192
564,305,196,409,195
565,305,196,408,195
566,305,196,408,195
567,305,197,408,195
568,306,196,410,195
569,307,196,411,194
570,307,196,411,194
571,308,196,411,194
572,307,195,411,193
573,309,196,412,195
574,309,197,412,195
575,309,197,412,195
576,309,197,412,196
577,309,196,413,195
578,309,195,413,194
579,310,195,414,194
580,311,196,414,195
581,310,196,414,196
582,311,197,415,195
583,310,197,415,196
584,311,196,414,195
585,311,196,415,194
586,311,196,415,195
587,311,196,416,195
588,311,197,416,196
589,312,196,416,196
590,312,196,416,195
591,313,196,417,195
592,313,196,418,196
593,313,197,418,196
594,313,198,417,197
595,313,198,417,197
596,313,197,417,196
597,313,196,417,196
598,313,196,418,195
599,314,197,418,196
600,313,197,418,196
601,313,197,417,196
602,313,197,418,196
603,313,196,418,196
604,313,197,416,196
605,309,199,414,198
606,298,191,404,190
607,298,189,405,188
608,298,189,404,188
609,297,190,404,189
610,297,190,403,188
611,296,189,403,188
612,296,188,402,186
613,296,187,402,186
614,296,187,403,186
615,296,187,402,186
616,294,188,402,186
617,294,188,401,186
618,291,187,398,185
619,291,186,397,185
620,291,187,397,185
621,290,187,397,185
622,290,187,397,185
623,292,188,398,186
624,300,191,403,189
625,301,192,404,190
626,302,192,404,190
627,302,193,405,190
628,304,193,407,190
629,305,191,408,188
630,305,190,409,188
631,305,189,408,187
632,305,189,408,186
633,305,190,409,187
634,305,189,409,187
635,306,190,409,188
636,305,190,409,188
637,306,190,409,188
638,306,189,410,187
639,305,190,410,188
640,305,191,409,188
641,301,190,404,187
642,293,190,398,189
643,290,191,396,189
644,290,190,396,188
645,289,190,395,189
646,285,191,393,189
647,283,191,392,189
648,283,191,391,189
649,282,191,391,189
650,282,191,390,188
651,281,191,390,187
652,281,189,389,187
653,279,189,387,186
654,277,190,385,186
655,275,189,383,185
656,274,188,382,184
657,272,189,380,184
658,270,190,378,185
659,269,191,377,185
660,269,189,376,184
661,269,187,376,182
662,268,187,376,181
663,267,187,375,181
664,265,187,373,181
665,263,187,371,181
666,262,188,370,181
667,261,187,369,180
